experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype
Exp_034,XGB,35.32518612002013,21.819518088832904,1.618971875373331,31.229635361149192,4.095550758870935,False,Inlier
Exp_034,SVR,33.412040610832726,27.941691995291034,1.1957772856584203,31.229635361149192,2.1824052496835336,False,Inlier
Exp_034,LSTM,18.53906332306151,11.842398453144822,1.565482144213645,31.229635361149192,-12.690572038087684,True,Type2
Exp_034,CNN,29.047230111465662,22.39027880489516,1.2973143552422,31.229635361149192,-2.18240524968353,False,Inlier
Exp_034,Transformer,6.865883070792633,3.3663608040688966,2.039556503418733,31.229635361149192,-24.363752290356558,True,Type2
Exp_035,RF,34.93567499216212,17.812054657075226,1.9613500892938887,26.03876719206638,8.89690780009574,False,Inlier
Exp_035,XGB,33.3465889577508,27.828464957917863,1.198290635440274,26.03876719206638,7.307821765684416,False,Inlier
Exp_035,SVR,32.700092344230654,25.74915012812414,1.2699484131134273,26.03876719206638,6.661325152164274,False,Inlier
Exp_035,LSTM,19.37744203990211,11.695522553641387,1.656825674186654,26.03876719206638,-6.66132515216427,False,Inlier
Exp_035,CNN,16.481551520634934,6.321969059212844,2.607028184773665,26.03876719206638,-9.557215671431447,False,Inlier
Exp_035,Transformer,7.551686271665044,4.328025403581057,1.7448340911808637,26.03876719206638,-18.487080920401336,False,Inlier
Exp_036,RF,34.49925918059907,22.41114992546889,1.5393792507448618,28.703010414333395,5.796248766265673,False,Inlier
Exp_036,XGB,35.859174155210965,31.409855786477973,1.1416535752019732,28.703010414333395,7.15616374087757,False,Inlier
Exp_036,SVR,32.50708815787684,25.132130424049933,1.293447376302389,28.703010414333395,3.8040777435434414,False,Inlier
Exp_036,LSTM,24.81567546982023,22.772960436684144,1.089699142929417,28.703010414333395,-3.8873349445131637,False,Inlier
Exp_036,CNN,24.898932670789954,14.859214805918834,1.6756560152069424,28.703010414333395,-3.8040777435434414,False,Inlier
Exp_036,Transformer,7.490181154064508,3.9999231092692167,1.872581284551982,28.703010414333395,-21.212829260268887,True,Type2
Exp_037,RF,35.1174234372074,13.482449441402043,2.6046768126100632,27.34342394504747,7.7739994921599305,False,Inlier
Exp_037,XGB,46.2755472094199,39.961080308884604,1.1580154202971182,27.34342394504747,18.93212326437243,False,Inlier
Exp_037,SVR,32.700092344230654,25.74915012812414,1.2699484131134273,27.34342394504747,5.356668399183185,False,Inlier
Exp_037,LSTM,21.98675554586428,19.141709152969465,1.148630739823641,27.34342394504747,-5.356668399183189,False,Inlier
Exp_037,CNN,19.099521395294094,9.658950576170795,1.977390943733965,27.34342394504747,-8.243902549753376,False,Inlier
Exp_037,Transformer,5.645607562553938,4.815254909149451,1.1724420968507265,27.34342394504747,-21.69781638249353,True,Type2
Exp_038,RF,35.324559036812545,14.070560376195994,2.5105296514396973,25.111864472960605,10.21269456385194,False,Inlier
Exp_038,XGB,33.25871449475686,24.859303798609535,1.3378779536302674,25.111864472960605,8.146850021796254,False,Inlier
Exp_038,SVR,32.74812688245945,25.773811939633788,1.2705969516329434,25.111864472960605,7.636262409498848,False,Inlier
Exp_038,LSTM,15.381023436625009,9.232630737602044,1.6659415797907091,25.111864472960605,-9.730841036335596,False,Inlier
Exp_038,CNN,17.475602063461753,9.465350758964739,1.8462709421423624,25.111864472960605,-7.636262409498851,False,Inlier
Exp_038,Transformer,10.317932547543817,5.5537960233118655,1.8578162583275752,25.111864472960605,-14.793931925416787,False,Inlier
Exp_039,RF,33.14279112917772,23.96064363338257,1.3832178983290062,27.567707711034913,5.57508341814281,False,Inlier
Exp_039,XGB,33.2487829458886,27.93577403085737,1.1901865654111667,27.567707711034913,5.681075234853687,False,Inlier
Exp_039,SVR,32.466045567796336,24.845893526191073,1.3066966391678587,27.567707711034913,4.898337856761422,False,Inlier
Exp_039,LSTM,22.66936985427349,19.53629231787078,1.1603721671146747,27.567707711034913,-4.898337856761422,False,Inlier
Exp_039,CNN,16.06780277102852,7.515989933155377,2.137815898362028,27.567707711034913,-11.499904940006392,False,Inlier
Exp_039,Transformer,6.630823131344247,3.076052980093212,2.1556270890832696,27.567707711034913,-20.936884579690666,True,Type2
Exp_040,RF,35.5282061943497,13.088172426039007,2.714527669551946,29.22366910212284,6.304537092226859,False,Inlier
Exp_040,XGB,34.564248232232316,23.969983721915753,1.4419804632837623,29.22366910212284,5.340579130109475,False,Inlier
Exp_040,SVR,32.46363030541271,25.07534293301664,1.2946435226083362,29.22366910212284,3.239961203289866,False,Inlier
Exp_040,LSTM,23.645629272476683,21.40008678953451,1.1049314661677134,29.22366910212284,-5.578039829646158,False,Inlier
Exp_040,CNN,25.98370789883297,17.155704788411036,1.5145811972927745,29.22366910212284,-3.2399612032898695,False,Inlier
Exp_040,Transformer,7.341250769460707,4.672433877133163,1.571183447964604,29.22366910212284,-21.882418332662134,True,Type2
Exp_041,RF,35.5282061943497,13.088172426039007,2.714527669551946,26.08449339830021,9.443712796049489,False,Inlier
Exp_041,XGB,38.22779909991468,25.780068628236087,1.482843185996991,26.08449339830021,12.143305701614466,False,Inlier
Exp_041,SVR,32.74812688245945,25.773811939633788,1.2705969516329434,26.08449339830021,6.6636334841592415,False,Inlier
Exp_041,LSTM,15.535933649929122,7.854704119222895,1.9779145610218314,26.08449339830021,-10.548559748371089,False,Inlier
Exp_041,CNN,19.420859914140966,9.693574440680369,2.0034776679115143,26.08449339830021,-6.663633484159245,False,Inlier
Exp_041,Transformer,11.645446516151576,3.4191202022535703,3.4059775109620207,26.08449339830021,-14.439046882148634,False,Inlier
Exp_042,RF,35.66218310273078,10.594796974797386,3.3660091068817084,27.85516402533205,7.807019077398728,False,Inlier
Exp_042,XGB,36.709327248415356,32.0299275641645,1.1460946071412983,27.85516402533205,8.854163223083305,False,Inlier
Exp_042,SVR,32.700092344230654,25.74915012812414,1.2699484131134273,27.85516402533205,4.844928318898603,False,Inlier
Exp_042,LSTM,17.103519974198658,9.19590074185784,1.8599069796770393,27.85516402533205,-10.751644051133393,False,Inlier
Exp_042,CNN,23.010235706433452,8.5984175889625,2.6761012091307266,27.85516402533205,-4.844928318898599,False,Inlier
Exp_042,Transformer,11.287523886823251,8.306472313792701,1.3588829843061758,27.85516402533205,-16.5676401385088,False,Inlier
Exp_043,RF,35.37938867230096,12.880127086868553,2.7468198437553215,28.724369921905264,6.655018750395698,False,Inlier
Exp_043,XGB,35.382544262341604,21.755368326585295,1.6263822212149703,28.724369921905264,6.658174340436339,False,Inlier
Exp_043,SVR,32.97135945131538,26.475338617193678,1.2453611992672697,28.724369921905264,4.246989529410115,False,Inlier
Exp_043,LSTM,19.50242560534939,15.651525336571133,1.2460399345091495,28.724369921905264,-9.221944316555874,False,Inlier
Exp_043,CNN,24.477380392495153,16.101017586909975,1.5202381005033563,28.724369921905264,-4.246989529410111,False,Inlier
Exp_043,Transformer,12.611704860458188,5.50310307443682,2.291744255898542,28.724369921905264,-16.112665061447075,False,Inlier
Exp_044,RF,35.566719966290364,13.800005555319192,2.5772975107666696,29.99172814438228,5.574991821908085,False,Inlier
Exp_044,XGB,44.964859869089715,41.22875281394951,1.0906189685630294,29.99172814438228,14.973131724707436,False,Inlier
Exp_044,SVR,32.50708815787684,25.132130424049933,1.293447376302389,29.99172814438228,2.5153600134945577,False,Inlier
Exp_044,LSTM,22.688335308744694,15.938868564861487,1.4234595897705655,29.99172814438228,-7.303392835637585,False,Inlier
Exp_044,CNN,27.476368130887725,22.507454548524723,1.2207674604718326,29.99172814438228,-2.515360013494554,False,Inlier
Exp_044,Transformer,7.1221918294214825,3.7674892765087464,1.890434532575888,29.99172814438228,-22.869536314960797,True,Type2
Exp_045,RF,34.83202467978541,14.036665784948704,2.4815027452698377,25.797736569094983,9.03428811069043,False,Inlier
Exp_045,XGB,46.2609810654792,40.007531029326216,1.1563068221222923,25.797736569094983,20.463244496384217,True,Type1
Exp_045,SVR,32.43074262216253,24.81094208852386,1.3071145185237913,25.797736569094983,6.63300605306755,False,Inlier
Exp_045,LSTM,18.72265421252336,12.237942736899884,1.5298857508191106,25.797736569094983,-7.075082356571624,False,Inlier
Exp_045,CNN,19.164730516027433,8.545849726410284,2.2425775235434253,25.797736569094983,-6.63300605306755,False,Inlier
Exp_045,Transformer,13.670778415844403,7.649218011917797,1.7872125483343222,25.797736569094983,-12.12695815325058,False,Inlier
Exp_046,RF,34.51904125945369,22.415651551989928,1.5399526165631037,26.40797326582044,8.111067993633245,False,Inlier
Exp_046,XGB,35.34888025045401,23.74150367146174,1.48890654693219,26.40797326582044,8.940906984633568,False,Inlier
Exp_046,SVR,32.466045567796336,24.845893526191073,1.3066966391678587,26.40797326582044,6.058072301975894,False,Inlier
Exp_046,LSTM,19.947266294336863,16.77894755503716,1.1888270243951355,26.40797326582044,-6.460706971483578,False,Inlier
Exp_046,CNN,20.349900963844547,11.179432949364468,1.8202981364096293,26.40797326582044,-6.058072301975894,False,Inlier
Exp_046,Transformer,13.827410490897746,6.771719850066392,2.0419348108091295,26.40797326582044,-12.580562774922695,False,Inlier
Exp_047,RF,35.826581231899624,12.536440577406088,2.857795321621705,29.896619845168672,5.929961386730952,False,Inlier
Exp_047,XGB,34.969748365998434,21.979665895791616,1.5910045462835718,29.896619845168672,5.073128520829762,False,Inlier
Exp_047,SVR,33.33688813541473,27.903266199464287,1.19473067766005,29.896619845168672,3.4402682902460597,False,Inlier
Exp_047,LSTM,17.11040147463077,7.472233043916501,2.289864539029756,29.896619845168672,-12.786218370537902,False,Inlier
Exp_047,CNN,26.456351554922616,17.03173021111992,1.553356660009176,29.896619845168672,-3.440268290246056,False,Inlier
Exp_047,Transformer,3.993223768736196,2.684368704631915,1.4875839380208216,29.896619845168672,-25.903396076432475,True,Type2
Exp_048,RF,34.528393602582334,22.39995129942651,1.541449494288246,26.40975622159025,8.118637380992084,False,Inlier
Exp_048,XGB,35.418008170059124,18.194963634482928,1.946583069994998,26.40975622159025,9.008251948468875,False,Inlier
Exp_048,SVR,32.43074262216253,24.81094208852386,1.3071145185237913,26.40975622159025,6.0209864005722835,False,Inlier
Exp_048,LSTM,20.38876982101797,18.585284804901345,1.0970383308649112,26.40975622159025,-6.02098640057228,False,Inlier
Exp_048,CNN,14.560157423740362,7.82175135832912,1.861495815542096,26.40975622159025,-11.849598797849888,False,Inlier
Exp_048,Transformer,7.703741269481935,5.670304009900815,1.3586116822009142,26.40975622159025,-18.706014952108315,False,Inlier
Exp_049,RF,33.95070074000994,19.867703491651696,1.708838706711918,27.428309308151437,6.522391431858505,False,Inlier
Exp_049,XGB,34.43636922485623,24.241896701043476,1.4205311428199403,27.428309308151437,7.0080599167047914,False,Inlier
Exp_049,SVR,33.00488294037129,26.488572033563056,1.246004612802516,27.428309308151437,5.576573632219851,False,Inlier
Exp_049,LSTM,21.851735675931586,17.8670149887824,1.2230210636556216,27.428309308151437,-5.576573632219851,False,Inlier
Exp_049,CNN,18.780458658973327,10.44153448469235,1.7986301425816416,27.428309308151437,-8.64785064917811,False,Inlier
Exp_049,Transformer,6.06832731525165,4.61029147072811,1.3162567602896633,27.428309308151437,-21.359981992899787,True,Type2
Exp_050,RF,35.66218310273078,10.594796974797386,3.3660091068817084,24.127328571329095,11.534854531401685,False,Inlier
Exp_050,XGB,46.32609607698856,40.03906631097543,1.1570223870152974,24.127328571329095,22.198767505659468,False,Inlier
Exp_050,SVR,32.43074262216253,24.81094208852386,1.3071145185237913,24.127328571329095,8.303414050833439,False,Inlier
Exp_050,LSTM,15.76125018665363,10.686816098823734,1.474831235131708,24.127328571329095,-8.366078384675465,False,Inlier
Exp_050,CNN,15.823914520495652,7.6135345307246824,2.0783926908898485,24.127328571329095,-8.303414050833442,False,Inlier
Exp_050,Transformer,8.405532976506644,4.049025505469842,2.0759397452921897,24.127328571329095,-15.721795594822451,False,Inlier
Exp_051,RF,34.51347581019367,22.400131630120615,1.540771115995796,27.890692213038523,6.622783597155145,False,Inlier
Exp_051,XGB,37.13985754623579,30.678000415161616,1.2106348863559115,27.890692213038523,9.249165333197265,False,Inlier
Exp_051,SVR,33.412040610832726,27.941691995291034,1.1957772856584203,27.890692213038523,5.521348397794203,False,Inlier
Exp_051,LSTM,22.36934381524432,18.852878567302064,1.186521397005183,27.890692213038523,-5.521348397794203,False,Inlier
Exp_051,CNN,21.073429882709753,9.787270542538996,2.1531467625337473,27.890692213038523,-6.81726233032877,False,Inlier
Exp_051,Transformer,14.012369413558552,8.12776066756633,1.7240135366528002,27.890692213038523,-13.878322799479971,False,Inlier
Exp_052,RF,35.543018829469204,9.697607621806517,3.6651327023734623,27.245962397202593,8.297056432266611,False,Inlier
Exp_052,XGB,36.74088926980317,30.24144781612853,1.214918329743734,27.245962397202593,9.494926872600576,False,Inlier
Exp_052,SVR,32.947774285680595,26.443664411954096,1.245960989838695,27.245962397202593,5.701811888478002,False,Inlier
Exp_052,LSTM,18.09116673188059,10.777375251970088,1.6786245545800729,27.245962397202593,-9.154795665322002,False,Inlier
Exp_052,CNN,21.54415050872459,13.797397556107784,1.5614647922634874,27.245962397202593,-5.701811888478002,False,Inlier
Exp_052,Transformer,19.498829341863704,5.133899126619998,3.7980546288413612,27.245962397202593,-7.747133055338889,False,Inlier
Exp_053,RF,34.50018142464839,22.408712190916113,1.539587867911206,26.256532994771455,8.243648429876934,False,Inlier
Exp_053,XGB,45.651562794135266,40.790176525440074,1.1191803194492977,26.256532994771455,19.39502979936381,False,Inlier
Exp_053,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,26.256532994771455,6.423992023012829,False,Inlier
Exp_053,LSTM,17.867085872306077,12.083788492684631,1.4785996861102444,26.256532994771455,-8.389447122465377,False,Inlier
Exp_053,CNN,19.832540971758622,9.40925423434727,2.1077696996816697,26.256532994771455,-6.423992023012833,False,Inlier
Exp_053,Transformer,12.8098582451844,5.639005391504775,2.271652065536698,26.256532994771455,-13.446674749587055,False,Inlier
Exp_054,RF,33.14279112917772,23.96064363338257,1.3832178983290062,25.943362832622846,7.199428296554878,False,Inlier
Exp_054,XGB,45.70000790652284,40.933511554276194,1.1164448436320071,25.943362832622846,19.756645073899996,False,Inlier
Exp_054,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,25.943362832622846,6.737162185161438,False,Inlier
Exp_054,LSTM,16.94879246914391,11.00746421723243,1.5397544915576649,25.943362832622846,-8.994570363478935,False,Inlier
Exp_054,CNN,19.206200647461404,11.426373515632596,1.6808658163664183,25.943362832622846,-6.737162185161441,False,Inlier
Exp_054,Transformer,10.559137836286784,8.824535619172432,1.1965658355263145,25.943362832622846,-15.384224996336062,False,Inlier
Exp_055,RF,34.456769096509106,18.92119951092566,1.821066844975275,26.03219626410595,8.424572832403157,False,Inlier
Exp_055,XGB,46.205996803715855,42.282712292248505,1.0927869641935575,26.03219626410595,20.173800539609907,True,Type1
Exp_055,SVR,32.53458164373087,25.14508978637232,1.2938741487955778,26.03219626410595,6.5023853796249185,False,Inlier
Exp_055,LSTM,18.588073582062975,12.304335932477535,1.510692952798809,26.03219626410595,-7.444122682042973,False,Inlier
Exp_055,CNN,19.52981088448103,9.683964828761384,2.0167164203733448,26.03219626410595,-6.5023853796249185,False,Inlier
Exp_055,Transformer,7.959593295341546,4.62133726508635,1.7223571530853896,26.03219626410595,-18.072602968764404,False,Inlier
Exp_056,RF,34.99947229680576,8.408030338834845,4.162624406235892,27.644671680234325,7.354800616571438,False,Inlier
Exp_056,XGB,34.56117022475784,26.5247709992471,1.3029771388314286,27.644671680234325,6.916498544523513,False,Inlier
Exp_056,SVR,32.700092344230654,25.74915012812414,1.2699484131134273,27.644671680234325,5.05542066399633,False,Inlier
Exp_056,LSTM,22.220797115830266,18.067313744099714,1.229889369862023,27.644671680234325,-5.423874564404059,False,Inlier
Exp_056,CNN,22.589251016238,14.680372481025154,1.5387382742117286,27.644671680234325,-5.055420663996326,False,Inlier
Exp_056,Transformer,8.2995293173558,5.098819012503349,1.627735618189948,27.644671680234325,-19.345142362878526,True,Type2
Exp_057,RF,35.93071237257347,8.72099642210886,4.120023748832695,28.63288612500839,7.297826247565077,False,Inlier
Exp_057,XGB,33.294722918485895,27.90934245883222,1.1929597756592583,28.63288612500839,4.661836793477505,False,Inlier
Exp_057,SVR,33.412040610832726,27.941691995291034,1.1957772856584203,28.63288612500839,4.7791544858243356,False,Inlier
Exp_057,LSTM,23.97104933153089,20.99086889931995,1.1419750867153236,28.63288612500839,-4.661836793477502,False,Inlier
Exp_057,CNN,17.34551476100432,5.160848705372132,3.3609810616902385,28.63288612500839,-11.28737136400407,False,Inlier
Exp_057,Transformer,4.633333482444999,2.212968304744547,2.093718862810304,28.63288612500839,-23.99955264256339,True,Type2
Exp_058,RF,34.8000282119315,11.996718569591252,2.9007955808966845,27.312955417729857,7.487072794201641,False,Inlier
Exp_058,XGB,33.2071651953686,27.891814356643575,1.1905702788194186,27.312955417729857,5.894209777638746,False,Inlier
Exp_058,SVR,33.38395772943852,27.931875020267604,1.1951921489414814,27.312955417729857,6.071002311708664,False,Inlier
Exp_058,LSTM,20.10785660424295,12.214179157248005,1.6462716278654523,27.312955417729857,-7.205098813486906,False,Inlier
Exp_058,CNN,21.41874564009111,8.936053819294518,2.396890850617334,27.312955417729857,-5.894209777638746,False,Inlier
Exp_058,Transformer,9.69213952977106,5.616161268608615,1.7257587640769891,27.312955417729857,-17.6208158879588,True,Type2
Exp_059,RF,35.826581231899624,12.536440577406088,2.857795321621705,28.448740928321605,7.377840303578019,False,Inlier
Exp_059,XGB,45.36163015406716,40.47994385485468,1.1205951845367252,28.448740928321605,16.912889225745552,False,Inlier
Exp_059,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,28.448740928321605,4.231784089462678,False,Inlier
Exp_059,LSTM,24.21695683885893,21.34060417885937,1.1347830940442145,28.448740928321605,-4.231784089462675,False,Inlier
Exp_059,CNN,18.915239501533957,9.271860632967256,2.0400694370101364,28.448740928321605,-9.533501426787648,False,Inlier
Exp_059,Transformer,6.238328029430899,3.273188979882228,1.9058869096080602,28.448740928321605,-22.210412898890706,True,Type2
Exp_060,RF,34.22914223838223,22.68437541346608,1.5089303370487712,27.280137399892638,6.949004838489593,False,Inlier
Exp_060,XGB,35.52201912579629,19.036891257759645,1.8659569277792205,27.280137399892638,8.241881725903653,False,Inlier
Exp_060,SVR,33.00488294037129,26.488572033563056,1.246004612802516,27.280137399892638,5.724745540478651,False,Inlier
Exp_060,LSTM,15.346901626268645,7.099552688477271,2.1616716291403826,27.280137399892638,-11.933235773623993,False,Inlier
Exp_060,CNN,21.555391859413984,13.851718925371681,1.5561528482888698,27.280137399892638,-5.724745540478654,False,Inlier
Exp_060,Transformer,9.84086871894726,3.7463363552991518,2.626797966239059,27.280137399892638,-17.43926868094538,False,Inlier
Exp_061,RF,34.3112589600331,20.181753024471206,1.7001129147913607,27.519260388456686,6.791998571576414,False,Inlier
Exp_061,XGB,35.86266324792925,20.821422783482294,1.7223925387259904,27.519260388456686,8.343402859472562,False,Inlier
Exp_061,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,27.519260388456686,5.161264629327597,False,Inlier
Exp_061,LSTM,22.35799575912909,20.317289849921007,1.1004418366958533,27.519260388456686,-5.161264629327597,False,Inlier
Exp_061,CNN,17.617254191946934,10.537610224716365,1.6718453061231089,27.519260388456686,-9.902006196509753,False,Inlier
Exp_061,Transformer,5.545585546921762,4.2801289448075845,1.295658523010004,27.519260388456686,-21.973674841534923,True,Type2
Exp_062,RF,35.014778372903635,15.255325217138678,2.2952495521738268,31.283039775316198,3.7317385975874373,False,Inlier
Exp_062,XGB,46.27436805264741,42.34934666657725,1.0926819820143259,31.283039775316198,14.991328277331213,False,Inlier
Exp_062,SVR,32.39936443805188,24.788243679133217,1.307045584085722,31.283039775316198,1.1163246627356855,False,Inlier
Exp_062,LSTM,22.93411637381428,19.798001059381363,1.158405654440899,31.283039775316198,-8.348923401501917,False,Inlier
Exp_062,CNN,30.166715112580516,25.755672681818442,1.1712648893024618,31.283039775316198,-1.116324662735682,False,Inlier
Exp_062,Transformer,13.094479488181507,4.274014784405797,3.063742206966182,31.283039775316198,-18.188560287134692,True,Type2
Exp_063,RF,35.6106457314402,11.47631730050077,3.1029680339952193,27.543177264793215,8.067468466646986,False,Inlier
Exp_063,XGB,35.633046308978585,19.274742178175984,1.848691203212277,27.543177264793215,8.08986904418537,False,Inlier
Exp_063,SVR,32.97124236538622,26.461319450081106,1.2460165649557267,27.543177264793215,5.4280651005930025,False,Inlier
Exp_063,LSTM,22.115112164200212,18.534185218900657,1.193206601909202,27.543177264793215,-5.4280651005930025,False,Inlier
Exp_063,CNN,15.980528904800005,6.76608084537153,2.3618589948909343,27.543177264793215,-11.56264835999321,False,Inlier
Exp_063,Transformer,12.351030042682043,7.897999918331282,1.563817443706889,27.543177264793215,-15.192147222111172,False,Inlier
Exp_064,RF,34.5440793312501,22.404678639436103,1.5418243612049207,26.43752170381785,8.106557627432252,False,Inlier
Exp_064,XGB,35.74403598362162,15.841463484540538,2.256359459370892,26.43752170381785,9.306514279803771,False,Inlier
Exp_064,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,26.43752170381785,6.243003313966433,False,Inlier
Exp_064,LSTM,20.194518389851414,13.826337830309642,1.4605833184244679,26.43752170381785,-6.243003313966437,False,Inlier
Exp_064,CNN,17.66489089582294,8.19541211063153,2.1554609649107324,26.43752170381785,-8.772630807994911,False,Inlier
Exp_064,Transformer,10.662871957353058,4.224678677410646,2.523948629363797,26.43752170381785,-15.774649746464792,False,Inlier
Exp_065,RF,35.51978054650135,12.768555491218754,2.7818166722875715,28.748399239034896,6.771381307466456,False,Inlier
Exp_065,XGB,35.916928555152616,18.070982106324752,1.9875471263170512,28.748399239034896,7.16852931611772,False,Inlier
Exp_065,SVR,33.412040610832726,27.941691995291034,1.1957772856584203,28.748399239034896,4.66364137179783,False,Inlier
Exp_065,LSTM,24.084757867237062,21.301854671628288,1.1306413567507478,28.748399239034896,-4.663641371797834,False,Inlier
Exp_065,CNN,18.500423117258105,8.887392230661426,2.0816480962133985,28.748399239034896,-10.24797612177679,False,Inlier
Exp_065,Transformer,13.31293956048817,3.9893211630526793,3.337144094535858,28.748399239034896,-15.435459678546726,False,Inlier
Exp_066,RF,34.84292280864896,17.458844612487887,1.995717562187744,29.378424174811602,5.464498633837355,False,Inlier
Exp_066,XGB,34.474306130843665,26.535683844397976,1.2991678048697295,29.378424174811602,5.095881956032063,False,Inlier
Exp_066,SVR,32.43074262216253,24.81094208852386,1.3071145185237913,29.378424174811602,3.052318447350931,False,Inlier
Exp_066,LSTM,17.829711736465867,8.080579727828503,2.206489179862006,29.378424174811602,-11.548712438345735,False,Inlier
Exp_066,CNN,26.32610572746067,18.375753997072813,1.4326544495346596,29.378424174811602,-3.052318447350931,False,Inlier
Exp_066,Transformer,5.939612725474051,4.002075372172031,1.4841331492091485,29.378424174811602,-23.43881144933755,True,Type2
Exp_067,RF,33.016122636236574,24.034363758737314,1.3737048738905802,27.76889045759861,5.247232178637965,False,Inlier
Exp_067,XGB,44.98575485249122,41.24954722762875,1.0905757244860126,27.76889045759861,17.21686439489261,False,Inlier
Exp_067,SVR,32.97135945131538,26.475338617193678,1.2453611992672697,27.76889045759861,5.202468993716771,False,Inlier
